CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy,gen
False,19,9,C,815,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,6.1,False,"C,AB,fd9ca8b,4-C,AB,b9c4e17,2-C,AB,e7091c0,2"
False,19,9,C,1,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,1350.0,False,"C,AB,fd9ca8b,4-C,AB,b9c4e17,2-C,AB,e7091c0,2"
False,19,9,C,475,0.0,2,3,0,0,0.0,SYNC,3,0,3,0,0,0,227.7,False,"C,AB,fd9ca8b,4-C,AB,b9c4e17,2-C,AB,e7091c0,2"
False,15,8,I,815,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,6.1,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,8,I,833,0.0,1,2,0,0,0.0,INC,0,2,0,2,0,0,663.9,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,8,I,1,0.0,1,3,0,0,0.0,INC,0,3,0,3,0,0,686.0,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,8,I,475,0.0,2,4,0,0,0.0,INC,0,4,0,4,0,0,227.7,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,8,I,815,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,6.1,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,8,I,833,0.0,1,2,0,0,0.0,INC,0,2,0,2,0,0,663.9,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,8,I,1,0.0,1,3,0,0,0.0,INC,0,3,0,3,0,0,686.0,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,8,I,475,0.0,2,4,0,0,0.0,INC,0,4,0,4,0,0,227.7,False,"I,B,fd9ca8b,2-I,A,94c0ef3,1-I,B,b9c4e17,1-I,AB,e7091c0,2"
False,15,9,C,815,0.0,4,1,0,0,0.0,SYNC,1,0,1,0,0,0,6.1,False,"C,AB,fd9ca8b,4-I,AB,b9c4e17,2-I,AB,e7091c0,2"
False,15,9,I,1,0.0,2,2,0,0,0.0,DIV,1,1,1,0,0,1,1350.0,False,"C,AB,fd9ca8b,4-I,AB,b9c4e17,2-I,AB,e7091c0,2"
False,15,9,I,475,0.0,2,3,0,0,0.0,DIV,1,2,1,1,0,1,227.7,False,"C,AB,fd9ca8b,4-I,AB,b9c4e17,2-I,AB,e7091c0,2"
False,20,10,I,164,0.0,9,1,0,0,0.0,INC,0,1,0,1,0,0,168.8,False,"I,AB,5fb18e3,9-I,AB,2fd42cf,2-I,B,a91df58,19"
False,20,10,I,303,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,351.2,False,"I,AB,5fb18e3,9-I,AB,2fd42cf,2-I,B,a91df58,19"
False,20,10,I,397,0.0,19,3,0,0,0.0,INC,0,3,0,3,0,0,178.9,False,"I,AB,5fb18e3,9-I,AB,2fd42cf,2-I,B,a91df58,19"
False,33,9,I,66,0.0,15,1,0,0,0.0,INC,0,1,0,1,0,0,5.6,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,94,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,16.0,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,111,0.0,12,3,0,0,0.0,INC,0,3,0,3,0,0,23.2,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,112,0.0,4,4,0,0,0.0,INC,0,4,0,4,0,0,3.9,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,834,0.0,4,5,0,0,0.0,INC,0,5,0,5,0,0,76.9,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,853,0.0,3,6,0,0,0.0,INC,0,6,0,6,0,0,120.1,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,208,0.0,1,7,0,0,0.0,INC,0,7,0,7,0,0,14.2,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,749,0.0,1,8,0,0,0.0,INC,0,8,0,8,0,0,300.9,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,33,9,I,4,0.0,2,9,0,0,0.0,INC,0,9,0,9,0,0,241.6,False,"I,AB,08477ea,15-I,A,4772699,2-I,AB,284e370,12-I,AB,1485a87,4-I,AB,2202e8f,4-I,A,3a9f472,3-I,A,467e5a1,1-I,A,7aff6b0,1-I,AB,baf273a,2"
False,12,10,C,6,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,1421.2,False,"C,B,a0656d2,1"
False,12,10,C,6,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,1421.2,False,"C,B,a0656d2,1"
False,13,10,C,92,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,20.2,False,"C,AB,f89dfb0,2"
False,13,9,C,92,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,20.2,False,"C,AB,f89dfb0,2"
False,13,9,C,92,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,20.2,False,"C,AB,f89dfb0,2"
False,13,10,C,92,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,20.2,False,"C,A,f89dfb0,1-I,B,a0656d2,1"
False,13,10,I,6,0.0,1,2,0,0,0.0,DIV,1,1,1,0,0,1,1401.0,False,"C,A,f89dfb0,1-I,B,a0656d2,1"
False,12,9,C,92,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,20.2,False,"C,AB,f89dfb0,2"
False,18,9,C,6,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,1421.2,False,"C,A,a0656d2,1"
False,38,9,I,3,0.0,73,1,0,0,0.0,INC,0,1,0,1,0,0,354.1,False,"I,AB,a80ea46,73"
False,25,11,I,20,0.0,50,1,0,0,0.0,INC,0,1,0,1,0,0,674.8,False,"I,AB,3e9f617,50"
False,25,11,I,20,0.0,47,1,0,0,0.0,INC,0,1,0,1,0,0,674.8,False,"I,AB,3e9f617,47"
False,25,11,I,20,0.0,47,1,0,0,0.0,INC,0,1,0,1,0,0,674.8,False,"I,AB,3e9f617,47"
False,25,11,I,20,0.0,47,1,0,0,0.0,INC,0,1,0,1,0,0,674.8,False,"I,AB,3e9f617,47"
False,25,11,I,20,0.0,47,1,0,0,0.0,INC,0,1,0,1,0,0,674.8,False,"I,AB,3e9f617,47"
False,22,11,I,20,0.0,44,1,0,0,0.0,INC,0,1,0,1,0,0,674.8,False,"I,AB,3e9f617,44"
False,20,10,I,164,0.0,9,1,0,0,0.0,INC,0,1,0,1,0,0,166.2,False,"I,AB,5fb18e3,9-I,AB,2fd42cf,2-I,B,a91df58,19"
False,20,10,I,303,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,351.2,False,"I,AB,5fb18e3,9-I,AB,2fd42cf,2-I,B,a91df58,19"
False,20,10,I,397,0.0,19,3,0,0,0.0,INC,0,3,0,3,0,0,178.9,False,"I,AB,5fb18e3,9-I,AB,2fd42cf,2-I,B,a91df58,19"
False,25,8,I,126,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,73.2,False,"I,B,19658e9,1-I,B,ff11fe8,1-I,A,d7fa7be,1"
False,25,8,I,12,0.0,1,2,0,0,0.0,INC,0,2,0,2,0,0,86.4,False,"I,B,19658e9,1-I,B,ff11fe8,1-I,A,d7fa7be,1"
False,25,8,I,9,0.0,1,3,0,0,0.0,INC,0,3,0,3,0,0,1009.4,False,"I,B,19658e9,1-I,B,ff11fe8,1-I,A,d7fa7be,1"
False,34,11,I,15,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,544.3,False,"I,AB,c95517f,2-I,AB,3e9f617,62"
