clone_pair,start_commit,end_commit,genealogy
src/main/java/com/tightdb/example/Example.java^52^80+tightdb-example/src/main/java/com/tightdb/example/Example.java^65^92,bf25c0d,a228c55,"I,B,3f9c05b,7-I,A,adffbe9,3-C,B,2f1c517,27"
src/main/java/com/tightdb/example/Example.java^90^129+tightdb-example/src/main/java/com/tightdb/example/Example.java^92^126,bf25c0d,a228c55,"C,B,3f9c05b,5-I,A,adffbe9,2-C,A,75ea3b2,1-I,A,593ea6a,9-I,A,091c4d3,2-I,B,2f1c517,35"
src/main/java/com/tightdb/example/Example.java^119^142+tightdb-example/src/main/java/com/tightdb/example/Example.java^114^132,bf25c0d,a228c55,"I,B,3f9c05b,3-I,A,593ea6a,5-I,A,091c4d3,4-I,AB,2f1c517,21"
src/main/java/com/tightdb/example/Example.java^142^193+tightdb-example/src/main/java/com/tightdb/example/Example.java^133^185,bf25c0d,a228c55,"I,B,3f9c05b,4-I,A,593ea6a,14-I,A,33dad7f,6-I,AB,2f1c517,61"
src/main/java/com/tightdb/example/generated/PersonTable.java^46^65+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^42^61,bf25c0d,21a73f5,"I,A,adffbe9,1"
src/main/java/com/tightdb/generated/EmployeeTable.java^42^61+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^42^61,bf25c0d,e31ae0f,"I,A,adffbe9,1-C,B,ccc0abf,1-I,A,2145990,19-C,A,8495984,1-C,B,f9295cb,19"
src/main/java/com/tightdb/generated/EmployeeTable.java^42^58+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^42^58,bf25c0d,e31ae0f,"I,A,adffbe9,1-C,B,ccc0abf,1-I,A,2145990,16-C,A,8495984,1-C,B,f9295cb,16"
src/main/java/com/tightdb/generated/EmployeeTable.java^63^81+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^63^81,bf25c0d,3e82979,"I,A,2145990,19"
src/main/java/com/tightdb/example/Example.java^52^59+tightdb-example/src/main/java/com/tightdb/example/Example.java^65^72,bf25c0d,a228c55,"C,B,3f9c05b,3-I,B,2f1c517,6"
src/main/java/com/tightdb/example/NestedTablesExample.java^12^17+tightdb-example/src/main/java/com/tightdb/example/Example.java^65^72,bf25c0d,a228c55,"C,B,3f9c05b,3-I,B,2f1c517,6"
src/main/java/com/tightdb/generated/EmployeeQuery.java^23^33+tightdb-example/src/main/java/com/tightdb/generated/EmployeeQuery.java^23^33,bf25c0d,e31ae0f,"I,A,66e7d0b,8-C,B,ccc0abf,8-C,B,f9295cb,11"
src/main/java/com/tightdb/generated/EmployeeTable.java^13^24+tightdb-example/src/main/java/com/tightdb/generated/EmployeeTable.java^13^24,bf25c0d,e31ae0f,"I,A,66e7d0b,8-C,B,ccc0abf,8-C,B,f9295cb,4"
