clone_pair,start_commit,end_commit,genealogy
javasources/K3Java/src/k3parser/KParser.java^230^248+javasources/K3Java/src/k3parser/KParser.java^263^281,7fb626a,80606db,"I,A,01a8e34,19"
javasources/K3Java/src/k3parser/KParser.java^230^248+javasources/K3Java/src/k3parser/KParser.java^296^314,7fb626a,80606db,"C,A,01a8e34,19"
javasources/K3Java/src/k3parser/KParser.java^230^248+javasources/K3Java/src/k3parser/KParser.java^328^346,7fb626a,80606db,"I,A,01a8e34,19"
javasources/Kil2Maude/src/generated/DEFINE_define_TAG.java^26^44+javasources/Kil2Maude/src/generated/RULE_rule_TAG.java^27^49,4956de5,601fbc9,"C,AB,b6be150,2"
javasources/K3Java/src/k3/basic/Configuration.java^53^63+javasources/K3Java/src/k3/basic/Context.java^37^46,b187f1e,e457748,"C,AB,4b6fdb8,2-C,AB,2a5dae5,2"
javasources/K3Java/src/k3/basic/Configuration.java^53^63+javasources/K3Java/src/k3/basic/Rule.java^40^49,b187f1e,e457748,"C,AB,4b6fdb8,2-C,AB,2a5dae5,2"
javasources/K3Java/src/k3/basic/Context.java^37^46+javasources/K3Java/src/k3/basic/Rule.java^40^49,b187f1e,e457748,"C,AB,4b6fdb8,2-C,AB,2a5dae5,2"
javasources/K3Java/src/k3/basic/Definition.java^364^373+javasources/K3Java/src/k3/basic/Definition.java^404^413,c04f005,18f30c1,"I,AB,3665426,20"
javasources/JKRun/src/ro/uaic/fmse/jkrun/FileUtil.java^68^87+javasources/K3Java/src/k/utils/FileUtil.java^32^53,771a154,7a6453a,"I,B,92dafc0,3"
javasources/JKRun/src/ro/uaic/fmse/jkrun/FileUtil.java^127^144+javasources/JKRun/src/ro/uaic/fmse/jkrun/FileUtil.java^155^173,771a154,a2792c0,"I,AB,35e6fc7,2-I,AB,e580b2e,35"
javasources/JavaClasses/src/ro/uaic/info/fmse/loader/Constants.java^50^66+javasources/Kil2Maude/src/generated/Constants.java^50^66,ba6b5a4,601fbc9,"I,A,03f3d18,1"
javasources/JavaClasses/src/ro/uaic/info/fmse/k/Context.java^14^29+javasources/JavaClasses/src/ro/uaic/info/fmse/k/Rule.java^16^31,a99b726,d020f95,"C,AB,33a081f,2-I,A,eb64d51,1-I,AB,0875d51,7-I,AB,4f96dca,38"
javasources/JavaClasses/src/ro/uaic/info/fmse/k/Context.java^16^31+javasources/JavaClasses/src/ro/uaic/info/fmse/k/Rule.java^18^33,eb64d51,d020f95,"C,AB,0875d51,6-I,AB,4f96dca,35"
javasources/JavaClasses/src/ro/uaic/info/fmse/k/Context.java^34^50+javasources/JavaClasses/src/ro/uaic/info/fmse/k/Rule.java^47^64,eb64d51,f864216,"I,AB,4f96dca,25"
javasources/JavaClasses/src/ro/uaic/info/fmse/k/Production.java^76^93+javasources/JavaClasses/src/ro/uaic/info/fmse/k/Sentence.java^25^42,948d4a8,d020f95,"C,A,a5651de,6-C,AB,0875d51,7-C,A,33d1b11,2-C,B,03a2978,2-C,A,e566a69,2-C,A,bdaedf8,2-I,AB,4f96dca,34"
javasources/JavaClasses/src/ro/uaic/info/fmse/loader/Constants.java^56^75+javasources/Kil2Maude/src/generated/Constants.java^50^69,9e4784f,601fbc9,"I,A,0875d51,2-I,A,03f3d18,1"
javasources/JavaClasses/src/ro/uaic/info/fmse/loader/Constants.java^57^73+javasources/Kil2Maude/src/generated/Constants.java^50^66,0875d51,601fbc9,"I,A,03f3d18,1"
javasources/JavaClasses/src/ro/uaic/info/fmse/loader/AmbFilter.java^11^28+javasources/JavaClasses/src/ro/uaic/info/fmse/loader/JavaClassesFactory.java^75^97,48d6828,972f81d,"C,B,bdaedf8,1-I,AB,a891924,24"
javasources/K3Java/src/k3/basic/Definition.java^162^174+javasources/K3Java/src/k3/basic/Definition.java^352^363,ca109bb,3195d04,"I,A,0ce8853,13"
javasources/JavaClasses/src/ro/uaic/info/fmse/latex/LatexFilter.java^12^38+javasources/JavaClasses/src/ro/uaic/info/fmse/loader/AmbFilter.java^11^37,bb5edc9,f864216,"C,AB,c88d7f1,4-I,B,1e8e243,22-I,A,cbb99ff,25-I,A,a577ef9,1-I,A,f7a64a0,13-I,A,f8a2823,1-I,A,f65fb5c,2-I,A,ce5466c,2-I,A,6f09f91,1-I,A,4f96dca,74-I,A,1fe378b,9-I,A,ce987e0,3-I,A,5e06fe5,3-I,A,397059b,1-I,A,abf715e,1"
javasources/JavaClasses/src/ro/uaic/info/fmse/latex/LatexFilter.java^15^31+javasources/JavaClasses/src/ro/uaic/info/fmse/loader/AmbFilter.java^12^28,1e8e243,4cbe94d,"I,A,cbb99ff,16"
javasources/K3Java/src/k3latex/K3LatexParser.java^27^51+javasources/K3Java/src/k3parser/KParser.java^225^248,cbb99ff,80606db,"C,B,01a8e34,24"
javasources/K3Java/src/k3latex/K3LatexParser.java^20^51+javasources/K3Java/src/k3parser/KParser.java^218^248,cbb99ff,80606db,"C,B,01a8e34,31"
javasources/K3Java/src/main/KompileFrontEnd.java^105^208+javasources/K3Java/src/main/KompileFrontEnd.java^229^332,cbb99ff,e457748,"I,A,cf08002,98-I,B,7550828,1-I,AB,7d89a73,2-I,A,cda41d9,1-I,B,01a8e34,4-I,B,388cb23,1-I,B,e3d3f51,3-I,B,4e17f1c,1-I,B,769781e,1-I,B,54c6c48,1-I,B,58c3c34,1-I,B,027b797,1-I,A,8822d26,1-I,B,6d239d7,106-I,B,c3b58ec,2-I,B,ae24af3,1-I,B,cb0730a,1"
javasources/K3Java/src/k3latex/K3LatexParser.java^20^51+javasources/K3Java/src/k3parser/KParser.java^283^314,cbb99ff,e457748,"I,B,7d89a73,1"
javasources/K3Java/src/main/KompileOptionsParser.java^16^75+javasources/K3Java/src/main/OptionsParser.java^17^82,cbb99ff,e457748,"I,A,1e4d35d,1-I,A,03f3d18,3-I,A,62e5144,2-I,A,ff3ca38,1-I,A,42e9a40,2-I,A,cb61bbc,10"
javasources/K3Java/src/k3latex/K3LatexParser.java^33^51+javasources/K3Java/src/k3parser/KParser.java^230^248,cbb99ff,80606db,"I,B,01a8e34,19"
javasources/K3Java/src/main/KastOptionsParser.java^17^38+javasources/K3Java/src/main/KompileOptionsParser.java^16^38,cbb99ff,e457748,"C,B,cb61bbc,1"
javasources/K3Java/src/main/KompileOptionsParser.java^16^38+javasources/K3Java/src/main/OptionsParser.java^17^39,cbb99ff,e457748,"I,A,cb61bbc,1"
javasources/K3Java/src/k3/basic/Comment.java^32^49+javasources/K3Java/src/k3/basic/Context.java^29^46,a3069da,0ce8853,"I,A,3fd1ef9,18"
javasources/K3Java/src/k3/basic/Comment.java^32^49+javasources/K3Java/src/k3/basic/Rule.java^34^51,a3069da,0ce8853,"I,A,3fd1ef9,18"
javasources/K3Java/src/k3/basic/Comment.java^34^43+javasources/K3Java/src/k3/basic/Configuration.java^48^58,a3069da,0ce8853,"I,A,3fd1ef9,10"
javasources/K3Java/src/k3/basic/Comment.java^34^43+javasources/K3Java/src/k3/basic/Context.java^31^40,a3069da,0ce8853,"I,A,3fd1ef9,10"
javasources/K3Java/src/k3/basic/Comment.java^34^43+javasources/K3Java/src/k3/basic/Rule.java^36^45,a3069da,0ce8853,"I,A,3fd1ef9,10"
javasources/K3Java/src/k3/basic/Definition.java^229^240+javasources/K3Java/src/k3/basic/Definition.java^418^428,0ce8853,e457748,"C,A,01a8e34,2-I,B,3665426,10-I,B,ca90d2f,1"
javasources/K3Java/src/k3/basic/Definition.java^263^277+javasources/K3Java/src/k3/basic/Definition.java^435^447,0ce8853,e457748,"C,A,01a8e34,4-I,B,3665426,11-I,A,c57bc39,2"
javasources/K3Java/src/k3/basic/Definition.java^656^669+javasources/K3Java/src/k3/basic/Definition.java^1057^1072,0ce8853,80606db,"I,B,01a8e34,16"
javasources/K3Java/src/main/KompileFrontEnd.java^113^213+javasources/K3Java/src/main/KompileFrontEnd.java^250^350,e076643,e457748,"I,A,cf08002,96-I,B,7550828,1-I,AB,7d89a73,2-I,A,cda41d9,1-I,B,01a8e34,4-I,B,388cb23,1-I,B,e3d3f51,3-I,B,4e17f1c,1-I,B,769781e,1-I,B,54c6c48,1-I,B,58c3c34,1-I,B,027b797,1-I,A,8822d26,1-I,B,6d239d7,106-I,B,c3b58ec,2-I,B,ae24af3,1-I,B,cb0730a,1"
javasources/K3Java/src/main/KompileFrontEnd.java^249^337+javasources/K3Java/src/main/KompileFrontEnd.java^356^444,cf08002,161fa8d,"I,A,f370865,1-I,AB,7d89a73,2-I,A,764d9b8,90"
javasources/JavaClasses/src/ro/uaic/info/fmse/k/Definition.java^72^101+javasources/JavaClasses/src/ro/uaic/info/fmse/transitions/maude/MaudeVisitor.java^26^55,75238cd,abf715e,"C,B,630e73f,2-C,A,23dcbcb,1-C,A,bd58386,1"
javasources/K3Java/src/main/KompileFrontEnd.java^272^360+javasources/K3Java/src/main/KompileFrontEnd.java^378^466,f370865,161fa8d,"C,AB,7d89a73,2-I,A,764d9b8,90"
javasources/K3Java/src/main/KompileOptionsParser.java^57^86+javasources/K3Java/src/main/OptionsParser.java^54^82,79835ec,e457748,"C,A,03f3d18,1-I,A,42e9a40,2-I,A,cb61bbc,7"
javasources/K3Java/src/main/KompileFrontEnd.java^301^389+javasources/K3Java/src/main/KompileFrontEnd.java^542^630,d4d58ab,161fa8d,"I,B,03f3d18,28-I,A,7d89a73,1-I,B,7234537,6-I,B,4a8618b,1-I,A,764d9b8,90"
javasources/K3Java/src/main/KompileFrontEnd.java^407^495+javasources/K3Java/src/main/KompileFrontEnd.java^542^630,d4d58ab,ed6a37f,"I,B,03f3d18,28-I,A,7d89a73,1-I,B,7234537,6-I,B,4a8618b,1-I,AB,01a8e34,7-I,A,6d239d7,85"
javasources/K3Java/src/main/KompileFrontEnd.java^393^513+javasources/K3Java/src/main/KompileFrontEnd.java^528^648,d4d58ab,e457748,"I,B,03f3d18,36-I,A,7d89a73,1-I,B,7234537,6-I,B,4a8618b,1-I,AB,01a8e34,7-I,A,388cb23,1-I,A,e3d3f51,3-I,A,4e17f1c,2-I,A,769781e,1-I,A,54c6c48,1-I,A,58c3c34,1-I,A,027b797,1-I,A,abf715e,1-I,A,6d239d7,113-I,A,c3b58ec,2-I,A,ae24af3,1-I,AB,cb0730a,2-I,AB,bcd1467,2"
javasources/K3Java/src/k/utils/XmlLoader.java^85^99+javasources/K3Java/src/k/utils/XmlLoader.java^107^121,03f3d18,5065a1c,"I,B,92dafc0,15"
javasources/K3Java/src/main/KompileFrontEnd.java^394^436+javasources/K3Java/src/main/KompileFrontEnd.java^523^569,03f3d18,e457748,"I,B,7234537,6-I,B,4a8618b,1-I,A,6d239d7,32-I,A,c3b58ec,2-I,B,cb0730a,1-I,B,bcd1467,1"
javasources/K3Java/src/main/KompileOptionsParser.java^61^89+javasources/K3Java/src/main/OptionsParser.java^54^82,62e5144,e457748,"I,A,42e9a40,2-I,A,cb61bbc,7"
javasources/K3Java/src/main/KompileFrontEnd.java^334^351+javasources/K3Java/src/main/KompileFrontEnd.java^440^457,b88ddf4,161fa8d,"I,A,764d9b8,18"
javasources/K3Java/src/main/KompileFrontEnd.java^334^351+projects/Klint/src/klint/Klint.java^129^147,b88ddf4,161fa8d,"I,A,764d9b8,18"
