clone_pair,start_commit,end_commit,genealogy
src/com/itmill/toolkit/terminal/web/AjaxApplicationManager.java^359^381+src/com/itmill/toolkit/terminal/web/ApplicationServlet.java^746^768,e8ca894,78e1808,"C,B,544a477,2-I,A,121ae54,23"
src/com/itmill/toolkit/terminal/web/AjaxApplicationManager.java^400^456+src/com/itmill/toolkit/terminal/web/ApplicationServlet.java^787^843,e8ca894,78e1808,"C,B,52cbd7e,2-C,AB,544a477,4-I,A,121ae54,57"
src/com/itmill/toolkit/terminal/web/AjaxPaintTarget.java^252^268+src/com/itmill/toolkit/terminal/web/WebPaintTarget.java^238^254,e8ca894,78e1808,"I,AB,121ae54,19"
src/com/itmill/toolkit/terminal/web/AjaxPaintTarget.java^349^367+src/com/itmill/toolkit/terminal/web/WebPaintTarget.java^329^348,e8ca894,78e1808,"I,AB,121ae54,23"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^329^351+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^329^351,e8ca894,b36dc81,"C,B,544a477,1"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^329^351+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^354^374,e8ca894,b36dc81,"C,B,544a477,1"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^354^374+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^329^351,e8ca894,b36dc81,"C,B,544a477,1"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^354^374+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^354^374,e8ca894,b36dc81,"C,B,544a477,1"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^74^95+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^74^95,e8ca894,b36dc81,"C,AB,121ae54,6"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^101^139+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^101^139,e8ca894,b36dc81,"C,AB,544a477,6-C,AB,121ae54,24-C,A,e03a20a,1"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^142^164+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^142^164,e8ca894,b36dc81,"C,B,544a477,2"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^188^236+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^188^236,e8ca894,b36dc81,"C,AB,121ae54,26"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^239^414+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^239^414,e8ca894,b36dc81,"C,AB,544a477,8-C,AB,121ae54,86"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^450^586+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^450^583,e8ca894,b36dc81,"C,AB,544a477,12-C,AB,121ae54,123"
src/com/itmill/toolkit/terminal/web/AjaxVariableMap.java^635^734+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^632^731,e8ca894,b36dc81,"C,AB,544a477,6-C,AB,121ae54,30"
src/com/itmill/toolkit/terminal/web/ThemeFunctionLibrary.java^442^449+src/com/itmill/toolkit/terminal/web/ThemeFunctionLibrary.java^459^466,5590682,511a2b9,"C,AB,3606abd,2-C,AB,60d46d5,8-C,AB,544a477,2"
src/com/itmill/toolkit/terminal/web/AjaxApplicationManager.java^304^331+src/com/itmill/toolkit/terminal/web/ApplicationServlet.java^1434^1460,a9a3e97,78e1808,"C,B,544a477,1-I,A,121ae54,28"
src/com/itmill/toolkit/ui/Table.java^1452^1466+src/com/itmill/toolkit/ui/Tree.java^418^432,3388cb0,78e1808,"I,A,121ae54,15"
src/com/itmill/toolkit/ui/Select.java^273^290+src/com/itmill/toolkit/ui/Select.java^296^314,645545f,cdc08de,"C,AB,544a477,2-I,B,815d49e,19"
src/com/itmill/toolkit/demo/features/FeatureBuffering.java^62^86+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/FeatureContainers.java^67^92+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/FeatureCustomLayout.java^49^73+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/FeatureItems.java^57^82+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/FeatureProperties.java^65^90+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/FeatureValidators.java^57^82+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/IntroBasic.java^49^74+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/IntroComponents.java^50^78+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/IntroDataModel.java^50^75+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/IntroItemContainers.java^49^74+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
src/com/itmill/toolkit/demo/features/IntroLayouts.java^51^76+src/com/itmill/toolkit/demo/features/IntroWelcome.java^72^97,44083ec,b36dc81,"C,B,75bdb42,1-I,B,9585067,3"
