clone_pair,start_commit,end_commit,genealogy
src/checkstyle/com/puppycrawl/tools/checkstyle/api/AutomaticBean.java^125^145+src/checkstyle/com/puppycrawl/tools/checkstyle/api/AutomaticBean.java^154^176,3020319,2439710,"I,A,b3caa3b,1-I,A,e8d0253,2-I,A,ee6de76,1-I,AB,eeba08c,9-I,A,5d7063c,3-I,AB,2c02a73,3-I,A,c2d3932,1-I,AB,35d1673,9-I,AB,e50e1fc,6-I,B,38bd8f7,1"
src/checkstyle/com/puppycrawl/tools/checkstyle/api/AutomaticBean.java^145^164+src/checkstyle/com/puppycrawl/tools/checkstyle/api/AutomaticBean.java^183^204,08d6efe,2439710,"I,A,e8d0253,2-I,A,ee6de76,1-I,AB,eeba08c,9-I,A,5d7063c,2-I,AB,2c02a73,3-I,A,c2d3932,1-I,AB,35d1673,9-I,AB,e50e1fc,4-I,B,38bd8f7,1"
src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java^105^162+src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java^72^150,1ffc5bb,2439710,"C,B,0eeb5e4,17-I,A,e464c23,5"
src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java^148^186+src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java^112^150,1ffc5bb,2439710,"C,B,0eeb5e4,10"
src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidIfIndent.java^186^225+src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidIfIndent.java^163^203,1ffc5bb,2439710,"C,B,0eeb5e4,17"
src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidForIndent.java^22^80+src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidForIndent.java^27^77,1ffc5bb,2439710,"I,B,3d8fc87,1"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^328^350+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocVariableCheck.java^73^94,7f0e2b8,2439710,"I,B,24ba45a,1-I,B,8fb2acd,1-I,B,db19bd6,3-I,B,cdf0ac0,19"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/RedundantThrowsCheck.java^298^326+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^581^609,04ac5dd,731b581,"I,B,32f5f97,29"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^330^352+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocVariableCheck.java^73^94,04ac5dd,2439710,"C,A,32f5f97,1-C,AB,24ba45a,2-C,AB,8fb2acd,2-C,AB,db19bd6,6-I,AB,cdf0ac0,38"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/whitespace/EmptyForIteratorPadCheck.java^64^77+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/whitespace/ParenPadCheck.java^106^120,2e8126e,f97fc5c,"I,B,99ed7a7,15"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/whitespace/AbstractParenPadCheck.java^48^62+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/whitespace/EmptyForIteratorPadCheck.java^64^77,99ed7a7,2439710,"I,B,ee8467d,6"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/RedundantThrowsCheck.java^300^328+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^581^609,9920857,731b581,"I,AB,32f5f97,58"
contrib/j2ee/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/j2ee/HomeInterfaceCheck.java^45^67+contrib/j2ee/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/j2ee/LocalHomeInterfaceCheck.java^45^67,7a2c495,a43e43e,"I,A,1bca9cc,17-I,AB,24a774b,2"
contrib/j2ee/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/j2ee/AbstractBeanCheck.java^70^84+contrib/j2ee/src/checkstyle/com/puppycrawl/tools/checkstyle/checks/j2ee/AbstractMethodCheck.java^60^74,135b7a0,a43e43e,"C,A,cb72198,1-C,AB,9089e7a,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocStyleCheck.java^99^119+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocVariableCheck.java^72^89,51dae59,2439710,"C,AB,24ba45a,2-C,AB,8fb2acd,2-I,AB,cdf0ac0,34"
src/tests/com/puppycrawl/tools/checkstyle/filters/CSVFilterTest.java^29^34+src/tests/com/puppycrawl/tools/checkstyle/filters/CSVFilterTest.java^49^54,524a7ec,beb09b0,"I,AB,1e7d8ee,10"
src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^24^35+src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^58^70,27235bb,2439710,"C,AB,e27489c,2-C,AB,788b419,4-C,AB,17754d3,4"
src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^25^33+src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^42^50,27235bb,2439710,"C,AB,788b419,4-C,AB,17754d3,4"
src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^25^33+src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^60^68,27235bb,2439710,"C,AB,788b419,4-C,AB,17754d3,4"
src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^42^50+src/tests/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^60^68,27235bb,2439710,"C,AB,788b419,4-C,AB,17754d3,4"
src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputInvalidArrayInitIndent.java^24^74+src/testinputs/com/puppycrawl/tools/checkstyle/indentation/InputValidArrayInitIndent.java^21^81,7f7db38,2439710,"C,B,be3f6d7,1"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/IllegalCatchCheck.java^94^106+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/IllegalTypeCheck.java^193^205,75773ac,ed8417e,"C,AB,5d7063c,6-I,A,b0e77dd,14"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/CheckUtils.java^204^220+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/MultipleVariableDeclarationsCheck.java^99^115,a6a2888,2439710,"C,AB,c2d3932,6-C,AB,d62a2cc,4"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocStyleCheck.java^135^147+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocTypeCheck.java^186^198,cdf0ac0,2439710,"C,AB,6125bef,2-I,A,c83b8ee,2-I,A,f7a4546,4-I,AB,c2d3932,4"
contrib/bcel/src/tests/com/puppycrawl/tools/checkstyle/bcel/BcelCheckTestCase.java^102^126+src/tests/com/puppycrawl/tools/checkstyle/BaseCheckTestCase.java^101^125,2707ab4,337382e,"C,B,5a4f991,1-I,B,f38d8ab,1"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^747^790+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^804^844,836e4d1,2439710,"C,B,055aa0c,2-C,AB,ab1e308,3-C,AB,0a72322,4"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^422^440+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/javadoc/JavadocMethodCheck.java^448^466,cbe3828,2439710,"C,AB,1aee9d5,2-C,AB,0a72322,4-C,AB,35d1673,4-C,AB,8a7713b,2"
contrib/bcel/src/tests/com/puppycrawl/tools/checkstyle/bcel/BcelCheckTestCase.java^102^121+src/tests/com/puppycrawl/tools/checkstyle/BaseCheckTestCase.java^104^123,96c6687,337382e,"I,B,f38d8ab,1"
contrib/bcel/src/tests/com/puppycrawl/tools/checkstyle/bcel/BcelCheckTestCase.java^102^121+src/tests/com/puppycrawl/tools/checkstyle/checks/javadoc/WriteTagCheckTest.java^147^166,96c6687,337382e,"I,B,f38d8ab,1-C,B,7552a0b,1"
src/tests/com/puppycrawl/tools/checkstyle/BaseCheckTestCase.java^104^123+src/tests/com/puppycrawl/tools/checkstyle/checks/javadoc/WriteTagCheckTest.java^147^166,96c6687,2439710,"C,AB,f38d8ab,2-I,B,7552a0b,1"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/AbstractIllegalCheck.java^65^76+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/coding/IllegalTypeCheck.java^205^216,c2d3932,2439710,"I,B,08638b5,2-I,A,e50e1fc,2"
src/tests/com/puppycrawl/tools/checkstyle/BaseCheckTestSupport.java^107^128+src/tests/com/puppycrawl/tools/checkstyle/checks/javadoc/WriteTagCheckTest.java^164^185,b853696,2439710,"C,AB,7552a0b,2"
src/tests/com/puppycrawl/tools/checkstyle/filters/SuppressWithNearbyCommentFilterTest.java^191^213+src/tests/com/puppycrawl/tools/checkstyle/filters/SuppressionCommentFilterTest.java^176^198,211e241,41a0bae,"C,A,6f46bd4,23"
contrib/bcel/src/tests/com/puppycrawl/tools/checkstyle/bcel/BcelCheckTestCase.java^102^121+src/test/java/com/puppycrawl/tools/checkstyle/checks/javadoc/WriteTagCheckTest.java^212^233,f1efb27,337382e,"I,B,89a51ba,11"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^38^48+src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^58^68,f1efb27,2439710,"C,AB,aeb68b7,6-C,AB,e2f2652,16-C,AB,3a2cb4d,4-I,AB,c998a06,2-I,AB,cb81e42,2"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^38^48+src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^79^89,f1efb27,2439710,"C,AB,aeb68b7,6-C,AB,e2f2652,16-C,AB,3a2cb4d,4-I,AB,c998a06,2-I,AB,cb81e42,2"
src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^58^68+src/test/java/com/puppycrawl/tools/checkstyle/filters/SeverityMatchFilterTest.java^79^89,f1efb27,2439710,"C,AB,aeb68b7,6-C,AB,e2f2652,16-C,AB,3a2cb4d,4-I,AB,c998a06,2-I,AB,cb81e42,2"
src/main/java/com/puppycrawl/tools/checkstyle/ConfigurationLoader.java^307^333+src/main/java/com/puppycrawl/tools/checkstyle/checks/header/AbstractHeaderCheck.java^132^158,f1efb27,d58e289,"C,B,2902710,5-C,A,b8ca6a5,5-I,A,fca6580,25-I,A,71c16c5,5-I,B,111bd4b,4-I,AB,4fd298b,3-I,AB,526c9d0,31"
